"Horodateur","1. Wiek","2. Płeć","3. Narodowość","4. Wielkość miejsca zamieszkania (Gdańsk mieści się w kategorii powyżej 500000 mieszkańców, a Gdynia w kategorii 100 000 – 500000 mieszkańców)","5. Profil klasy","6. Czy znasz osobę chorującą na padaczkę?","7. Czy kiedykolwiek słyszałeś_aś lub czytałeś_aś o padaczce?","8. Czy byłeś_aś świadkiem napadu padaczkowego?","9.Jak oceniasz swoją wiedzę o padaczce i pomocy w trakcie napadu padaczkowego?","1. U osoby będącej w trakcie napadu padaczkowego postaram się rozchylić usta w celu włożenia czegoś między jej zęby, aby zapobiec przegryzieniu języka.","2. Do osoby w czasie napadu padaczkowego będę głośno krzyczeć i potrząsać nią, aby odzyskała przytomność, w ten sposób zatrzymam napad.","3. Odsunę wszystkie niebezpieczne przedmioty znajdujące się w pobliżu osoby będącej w trakcie napadu padaczkowego, aby zapobiec dodatkowym urazom.  ","4. Po ustaniu napadu padaczkowego osobę należy ułożyć w pozycji bezpiecznej oraz pozostać z nią do czasu odzyskania pełnej sprawności.","5. Podczas napadu padaczkowego u osoby, która regularnie przyjmuje leki przeciwpadaczkowe, należy jak najszybciej podać lek doustnie.  ","6. Osobę w trakcie napadu padaczkowego należy przytrzymać i ograniczyć jej ruchy.","7. W czasie każdego napadu padaczkowego należy wezwać pogotowie ratunkowe.","8. Sztuczne oddychanie nie jest czynnością konieczną w trakcie każdego napadu padaczkowego.","9. Po ustaniu napadu padaczkowego chory najczęściej natychmiast wraca do pełni sprawności, nie odczuwając przy tym żadnych dolegliwości.","10.Jeden napad padaczkowy wystarczy żeby rozpoznać padaczkę u osoby nie będącej w grupie wysokiego ryzyka nawrotu kolejnych napadów.","11. Do objawów napadu padaczkowego należą:","12.Który z czynników może sprowokować napad padaczkowy?","13. Osoba chorująca na padaczkę:","14. Padaczka to:","15.Zaznacz stwierdzenie fałszywe","1. U osoby będącej w trakcie napadu padaczkowego postaram się rozchylić usta w celu włożenia czegoś między jej zęby, aby zapobiec przegryzieniu języka.","2. Do osoby w czasie napadu padaczkowego będę głośno krzyczeć i potrząsać nią, aby odzyskała przytomność, w ten sposób zatrzymam napad.","3. Odsunę wszystkie niebezpieczne przedmioty znajdujące się w pobliżu osoby będącej w trakcie napadu padaczkowego, aby zapobiec dodatkowym urazom.  ","4. Po ustaniu napadu padaczkowego osobę należy ułożyć w pozycji bezpiecznej oraz pozostać z nią do czasu odzyskania pełnej sprawności.","5. Podczas napadu padaczkowego u osoby, która regularnie przyjmuje leki przeciwpadaczkowe, należy jak najszybciej podać lek doustnie.  ","6. Osobę w trakcie napadu padaczkowego należy przytrzymać i ograniczyć jej ruchy.","7. W czasie każdego napadu padaczkowego należy wezwać pogotowie ratunkowe.","8. Sztuczne oddychanie nie jest czynnością konieczną w trakcie każdego napadu padaczkowego.","9. Po ustaniu napadu padaczkowego chory najczęściej natychmiast wraca do pełni sprawności, nie odczuwając przy tym żadnych dolegliwości.","10.Jeden napad padaczkowy wystarczy żeby rozpoznać padaczkę u osoby nie będącej w grupie wysokiego ryzyka nawrotu kolejnych napadów.","11. Do objawów napadu padaczkowego należą:","12.Który z czynników może sprowokować napad padaczkowy?","13. Osoba chorująca na padaczkę:","14. Padaczka to:","15.Zaznacz stwierdzenie fałszywe","16. Czy uważasz, że w toku nauczania szkolnego powinny być ujęte tego typu lekcje na temat stwardnienia rozsianego, padaczki i innych częstych schorzeń zdrowotnych?"
"2024/01/15 1:19:38 PM UTC+2","15-16 lat","Kobieta","Polska","Miasto powyżej 500 000 mieszkańców","Inny","Tak","Tak","Tak","Dobra","Prawda","Fałsz","Prawda","Fałsz","Prawda","Prawda","Prawda","Prawda","Prawda","Nie wiem","Wszystkie odpowiedzi są prawidłowe","Wszystkie odpowiedzi są prawidłowe","Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki","Przewlekła choroba neurologiczna","Osoby chorujące na padaczkę muszą przyjmować leki do końca swojego życia","Prawda","Fałsz","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Fałsz","Nie wiem","Wszystkie odpowiedzi są prawidłowe","Wszystkie odpowiedzi są prawidłowe","Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki","Przewlekła choroba neurologiczna","Osoby chorujące na padaczkę muszą przyjmować leki do końca swojego życia","Tak"
"2024/01/15 2:21:04 PM UTC+2","18-19 lat","Kobieta","Polska","Miasto od 100 000 do 500 000 mieszkańców","Inny","Tak","Tak","Nie","Średnia","Prawda","Fałsz","Prawda","Prawda","Nie wiem","Prawda","Prawda","Fałsz","Nie wiem","Prawda","Wszystkie odpowiedzi są prawidłowe","Wszystkie odpowiedzi są prawidłowe","Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki","Przewlekła choroba neurologiczna","Osoby chorujące na padaczkę muszą przyjmować leki do końca swojego życia","Fałsz","Fałsz","Prawda","Nie wiem","Fałsz","Fałsz","Fałsz","Prawda","Fałsz","Fałsz","Wszystkie odpowiedzi są prawidłowe","Wszystkie odpowiedzi są prawidłowe","Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki","Przewlekła choroba neurologiczna","Osoby chorujące na padaczkę muszą przyjmować leki do końca swojego życia","Tak"
"2024/01/15 2:21:58 PM UTC+2","16-17 lat","Kobieta","Polska","Miasto od 50 000 do 100 000 mieszkańców","Inny","Nie","Tak","Nie","Słaba","Nie wiem","Nie wiem","Prawda","Nie wiem","Nie wiem","Nie wiem","Prawda","Nie wiem","Nie wiem","Nie wiem","Wszystkie odpowiedzi są prawidłowe","Wszystkie odpowiedzi są prawidłowe","Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki","Przewlekła choroba neurologiczna","Na padaczkę choruje około 1% populacji","Nie wiem","Fałsz","Prawda","Nie wiem","Fałsz","Nie wiem","Nie wiem","Nie wiem","Prawda","Fałsz","Wszystkie odpowiedzi są prawidłowe","Wszystkie odpowiedzi są prawidłowe","Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki","Przewlekła choroba neurologiczna","Padaczka jest chorobą uleczalną","Tak"
"2024/01/15 2:22:09 PM UTC+2","16-17 lat","Kobieta","Polska","Miasto powyżej 500 000 mieszkańców","Inny","Nie","Tak","Nie","Średnia","Prawda","Fałsz","Prawda","Prawda","Nie wiem","Prawda","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Wszystkie odpowiedzi są prawidłowe","Stres","Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki","Przewlekła choroba neurologiczna","Osoby chorujące na padaczkę muszą przyjmować leki do końca swojego życia","Fałsz","Fałsz","Prawda","Prawda","Fałsz","Prawda","Fałsz","Prawda","Fałsz","Fałsz","Wszystkie odpowiedzi są prawidłowe","Wszystkie odpowiedzi są prawidłowe","Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki","Inne określenie na napad drgawek","Osoby chorujące na padaczkę muszą przyjmować leki do końca swojego życia","Tak"
"2024/01/15 2:22:22 PM UTC+2","17-18 lat","Mężczyzna","Polska","Miasto powyżej 500 000 mieszkańców","Inny","Nie","Tak","Nie","Średnia","Fałsz","Fałsz","Prawda","Prawda","Fałsz","Prawda","Prawda","Nie wiem","Nie wiem","Nie wiem","Wszystkie odpowiedzi są prawidłowe","Wszystkie odpowiedzi są prawidłowe","Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki","Przewlekła choroba neurologiczna","Padaczka jest chorobą uleczalną","Fałsz","Fałsz","Prawda","Prawda","Fałsz","Fałsz","Prawda","Nie wiem","Fałsz","Nie wiem","Wszystkie odpowiedzi są prawidłowe","Wszystkie odpowiedzi są prawidłowe","Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki","Przewlekła choroba neurologiczna","Osoby chorujące na padaczkę muszą przyjmować leki do końca swojego życia","Tak"
"2024/01/15 2:22:48 PM UTC+2","17-18 lat","Kobieta","Polska","Miasto powyżej 500 000 mieszkańców","Inny","Tak","Tak","Nie","Średnia","Nie wiem","Fałsz","Prawda","Prawda","Nie wiem","Nie wiem","Fałsz","Prawda","Fałsz","Nie wiem","Wszystkie odpowiedzi są prawidłowe","Wszystkie odpowiedzi są prawidłowe","Posiada bezwzględny zakaz prowadzenia samochodu","Przewlekła choroba neurologiczna","Padaczka jest chorobą uleczalną","Fałsz","Fałsz","Prawda","Prawda","Fałsz","Fałsz","Fałsz","Fałsz","Fałsz","Prawda","Wszystkie odpowiedzi są prawidłowe","Wszystkie odpowiedzi są prawidłowe","Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki","Przewlekła choroba neurologiczna","Osoby chorujące na padaczkę muszą przyjmować leki do końca swojego życia","Tak"
"2024/01/15 2:22:54 PM UTC+2","15-16 lat","Kobieta","Polska","Miasto od 100 000 do 500 000 mieszkańców","Inny","Nie","Tak","Nie","Średnia","Prawda","Prawda","Prawda","Prawda","Prawda","Fałsz","Fałsz","Prawda","Fałsz","Nie wiem","Wszystkie odpowiedzi są prawidłowe","Wszystkie odpowiedzi są prawidłowe","Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki","Inne określenie na napad drgawek","Padaczka jest chorobą uleczalną","Fałsz","Fałsz","Prawda","Prawda","Fałsz","Fałsz","Prawda","Fałsz","Prawda","Fałsz","Wszystkie odpowiedzi są prawidłowe","Wszystkie odpowiedzi są prawidłowe","Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki","Przewlekła choroba neurologiczna","8% ludzi ma w swoim życiu minimum jeden napad padaczkowy","Tak"
"2024/01/15 2:23:17 PM UTC+2","16-17 lat","Kobieta","Polska","Miasto powyżej 500 000 mieszkańców","Inny","Nie","Tak","Nie","Średnia","Prawda","Fałsz","Prawda","Prawda","Fałsz","Prawda","Nie wiem","Prawda","Fałsz","Fałsz","Wszystkie odpowiedzi są prawidłowe","Stres","Posiada bezwzględny zakaz prowadzenia samochodu","Przewlekła choroba neurologiczna","8% ludzi ma w swoim życiu minimum jeden napad padaczkowy","Fałsz","Fałsz","Prawda","Prawda","Fałsz","Prawda","Fałsz","Fałsz","Fałsz","Fałsz","Wszystkie odpowiedzi są prawidłowe","Niewystarczająca ilość snu","Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki","Przewlekła choroba neurologiczna","8% ludzi ma w swoim życiu minimum jeden napad padaczkowy","Tak"
"2024/01/15 2:23:20 PM UTC+2","15-16 lat","Kobieta","Polska","Miasto do 50 000 mieszkańców","Inny","Nie","Tak","Nie","Średnia","Prawda","Fałsz","Prawda","Prawda","Nie wiem","Prawda","Prawda","Prawda","Fałsz","Prawda","Drgawki i krótkotrwała utrata świadomości","Wszystkie odpowiedzi są prawidłowe","Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki","Przewlekła choroba neurologiczna","Na padaczkę choruje około 1% populacji","Fałsz","Fałsz","Prawda","Prawda","Fałsz","Fałsz","Prawda","Prawda","Fałsz","Prawda","Wszystkie odpowiedzi są prawidłowe","Wszystkie odpowiedzi są prawidłowe","Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki","Przewlekła choroba neurologiczna","Osoby chorujące na padaczkę muszą przyjmować leki do końca swojego życia","Tak"
"2024/01/15 2:23:30 PM UTC+2","16-17 lat","Kobieta","Polska","Miasto do 50 000 mieszkańców","Inny","Tak","Tak","Tak","Dobra","Fałsz","Fałsz","Prawda","Prawda","Fałsz","Prawda","Fałsz","Prawda","Fałsz","Fałsz","Drgawki i krótkotrwała utrata świadomości","Migające światło","Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki","Przewlekła choroba neurologiczna","Padaczka jest chorobą uleczalną","Fałsz","Fałsz","Prawda","Prawda","Fałsz","Fałsz","Fałsz","Prawda","Fałsz","Prawda","Wszystkie odpowiedzi są prawidłowe","Wszystkie odpowiedzi są prawidłowe","Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki","Przewlekła choroba neurologiczna","Osoby chorujące na padaczkę muszą przyjmować leki do końca swojego życia","Tak"
"2024/01/15 2:23:33 PM UTC+2","17-18 lat","Kobieta","Polska","Miasto powyżej 500 000 mieszkańców","Inny","Tak","Tak","Nie","Nic nie wiem o tej chorobie","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Wszystkie odpowiedzi są prawidłowe","Wszystkie odpowiedzi są prawidłowe","Nie może być aktywna zawodowo","Inne określenie na napad drgawek","8% ludzi ma w swoim życiu minimum jeden napad padaczkowy","Fałsz","Fałsz","Prawda","Prawda","Fałsz","Fałsz","Prawda","Prawda","Prawda","Fałsz","Wszystkie odpowiedzi są prawidłowe","Wszystkie odpowiedzi są prawidłowe","Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki","Przewlekła choroba neurologiczna","Osoby chorujące na padaczkę muszą przyjmować leki do końca swojego życia","Tak"
"2024/01/15 2:23:36 PM UTC+2","15-16 lat","Kobieta","Polska","Miasto powyżej 500 000 mieszkańców","Inny","Tak","Tak","Tak","Średnia","Prawda","Fałsz","Prawda","Prawda","Nie wiem","Fałsz","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Wszystkie odpowiedzi są prawidłowe","Wszystkie odpowiedzi są prawidłowe","Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki","Przewlekła choroba neurologiczna","Na padaczkę choruje około 1% populacji","Fałsz","Fałsz","Prawda","Prawda","Fałsz","Fałsz","Fałsz","Prawda","Prawda","Prawda","Wszystkie odpowiedzi są prawidłowe","Wszystkie odpowiedzi są prawidłowe","Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki","Przewlekła choroba neurologiczna","Osoby chorujące na padaczkę muszą przyjmować leki do końca swojego życia","Tak"
"2024/01/15 2:23:41 PM UTC+2","15-16 lat","Kobieta","Polska","Miasto do 50 000 mieszkańców","Inny","Nie","Tak","Nie","Słaba","Fałsz","Fałsz","Prawda","Prawda","Nie wiem","Prawda","Fałsz","Nie wiem","Fałsz","Nie wiem","Drgawki i krótkotrwała utrata świadomości","Wszystkie odpowiedzi są prawidłowe","Posiada bezwzględny zakaz prowadzenia samochodu","Przewlekła choroba neurologiczna","Osoby chorujące na padaczkę muszą przyjmować leki do końca swojego życia","Fałsz","Fałsz","Prawda","Prawda","Fałsz","Fałsz","Fałsz","Prawda","Fałsz","Prawda","Wszystkie odpowiedzi są prawidłowe","Wszystkie odpowiedzi są prawidłowe","Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki","Przewlekła choroba neurologiczna","Osoby chorujące na padaczkę muszą przyjmować leki do końca swojego życia","Tak"
"2024/01/15 2:23:44 PM UTC+2","17-18 lat","Kobieta","Polska","Miasto do 50 000 mieszkańców","Inny","Nie","Tak","Nie","Nic nie wiem o tej chorobie","Nie wiem","Fałsz","Prawda","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Wszystkie odpowiedzi są prawidłowe","Wszystkie odpowiedzi są prawidłowe","Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki","Przewlekła choroba neurologiczna","Osoby chorujące na padaczkę muszą przyjmować leki do końca swojego życia","Fałsz","Fałsz","Prawda","Prawda","Fałsz","Fałsz","Fałsz","Prawda","Prawda","Prawda","Wszystkie odpowiedzi są prawidłowe","Wszystkie odpowiedzi są prawidłowe","Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki","Przewlekła choroba neurologiczna","Osoby chorujące na padaczkę muszą przyjmować leki do końca swojego życia","Tak"
"2024/01/15 2:23:50 PM UTC+2","18-19 lat","Kobieta","Polska","Miasto od 50 000 do 100 000 mieszkańców","Inny","Tak","Tak","Tak","Średnia","Fałsz","Fałsz","Prawda","Prawda","Prawda","Prawda","Fałsz","Fałsz","Fałsz","Nie wiem","Wszystkie odpowiedzi są prawidłowe","Wszystkie odpowiedzi są prawidłowe","Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki","Inne określenie na napad drgawek","Osoby chorujące na padaczkę muszą przyjmować leki do końca swojego życia","Fałsz","Fałsz","Prawda","Prawda","Fałsz","Fałsz","Fałsz","Fałsz","Fałsz","Fałsz","Wszystkie odpowiedzi są prawidłowe","Wszystkie odpowiedzi są prawidłowe","Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki","Przewlekła choroba neurologiczna","Osoby chorujące na padaczkę muszą przyjmować leki do końca swojego życia","Tak"
"2024/01/15 2:23:57 PM UTC+2","15-16 lat","Mężczyzna","Polska","Miasto powyżej 500 000 mieszkańców","Inny","Nie","Tak","Tak","Nic nie wiem o tej chorobie","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Prawda","Nie wiem","Nie wiem","Prawda","Chwilowe zaburzenia mowy i połykania","Stres","Nie może mieć dzieci","Inne określenie na napad drgawek","Padaczka jest chorobą uleczalną","Fałsz","Fałsz","Prawda","Prawda","Fałsz","Fałsz","Prawda","Prawda","Prawda","Fałsz","Drgawki i krótkotrwała utrata świadomości","Wszystkie odpowiedzi są prawidłowe","Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki","Przewlekła choroba neurologiczna","Osoby chorujące na padaczkę muszą przyjmować leki do końca swojego życia","Nie powiem"
"2024/01/15 2:24:16 PM UTC+2","17-18 lat","Kobieta","Polska","Miasto do 50 000 mieszkańców","Inny","Nie","Tak","Nie","Średnia","Prawda","Fałsz","Prawda","Nie wiem","Nie wiem","Prawda","Nie wiem","Prawda","Nie wiem","Prawda","Wszystkie odpowiedzi są prawidłowe","Wszystkie odpowiedzi są prawidłowe","Posiada bezwzględny zakaz prowadzenia samochodu","Przewlekła choroba neurologiczna","Na padaczkę choruje około 1% populacji","Fałsz","Fałsz","Prawda","Prawda","Fałsz","Fałsz","Prawda","Fałsz","Prawda","Fałsz","Wszystkie odpowiedzi są prawidłowe","Wszystkie odpowiedzi są prawidłowe","Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki","Przewlekła choroba neurologiczna","Osoby chorujące na padaczkę muszą przyjmować leki do końca swojego życia","Tak"
"2024/01/15 2:24:23 PM UTC+2","16-17 lat","Kobieta","Polska","Miasto powyżej 500 000 mieszkańców","Inny","Nie","Tak","Nie","Nic nie wiem o tej chorobie","Prawda","Nie wiem","Prawda","Nie wiem","Fałsz","Prawda","Fałsz","Fałsz","Fałsz","Fałsz","Wszystkie odpowiedzi są prawidłowe","Migające światło","Posiada bezwzględny zakaz prowadzenia samochodu","Przewlekła choroba neurologiczna","8% ludzi ma w swoim życiu minimum jeden napad padaczkowy","Fałsz","Fałsz","Prawda","Prawda","Fałsz","Fałsz","Fałsz","Fałsz","Fałsz","Fałsz","Wszystkie odpowiedzi są prawidłowe","Wszystkie odpowiedzi są prawidłowe","Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki","Przewlekła choroba neurologiczna","Osoby chorujące na padaczkę muszą przyjmować leki do końca swojego życia","Tak"
"2024/01/15 2:24:28 PM UTC+2","15-16 lat","Mężczyzna","Polska","Miasto powyżej 500 000 mieszkańców","Inny","Tak","Tak","Nie","Nic nie wiem o tej chorobie","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Wszystkie odpowiedzi są prawidłowe","Wszystkie odpowiedzi są prawidłowe","Powinna uczęszczać do szkoły specjalnej","Inne określenie na napad drgawek","Padaczka jest chorobą uleczalną","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Wszystkie odpowiedzi są prawidłowe","Wszystkie odpowiedzi są prawidłowe","Powinna uczęszczać do szkoły specjalnej","Inne określenie na napad drgawek","Padaczka jest chorobą uleczalną","Tak"
"2024/01/15 2:24:43 PM UTC+2","17-18 lat","Kobieta","Polska","Miasto do 50 000 mieszkańców","Inny","Nie","Tak","Nie","Słaba","Fałsz","Fałsz","Prawda","Prawda","Nie wiem","Prawda","Prawda","Fałsz","Nie wiem","Nie wiem","Wszystkie odpowiedzi są prawidłowe","Wszystkie odpowiedzi są prawidłowe","Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki","Przewlekła choroba neurologiczna","Osoby chorujące na padaczkę muszą przyjmować leki do końca swojego życia","Fałsz","Fałsz","Prawda","Prawda","Fałsz","Fałsz","Prawda","Prawda","Fałsz","Nie wiem","Wszystkie odpowiedzi są prawidłowe","Wszystkie odpowiedzi są prawidłowe","Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki","Przewlekła choroba neurologiczna","Osoby chorujące na padaczkę muszą przyjmować leki do końca swojego życia","Tak"
"2024/01/15 2:25:22 PM UTC+2","15-16 lat","Mężczyzna","Polska","Miasto powyżej 500 000 mieszkańców","Inny","Nie","Tak","Nie","Dobra","Fałsz","Fałsz","Prawda","Fałsz","Fałsz","Prawda","Prawda","Prawda","Fałsz","Fałsz","Wszystkie odpowiedzi są prawidłowe","Wszystkie odpowiedzi są prawidłowe","Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki","Przewlekła choroba neurologiczna","Na padaczkę choruje około 1% populacji","Fałsz","Fałsz","Prawda","Fałsz","Fałsz","Prawda","Prawda","Prawda","Fałsz","Fałsz","Wszystkie odpowiedzi są prawidłowe","Niewystarczająca ilość snu","Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki","Przewlekła choroba neurologiczna","8% ludzi ma w swoim życiu minimum jeden napad padaczkowy","Tak"
"2024/04/22 1:13:40 PM UTC+2","Powyżej 20 lat","Inna","Inna","Miasto powyżej 500 000 mieszkańców","Z rozszerzoną biologią","Tak","Tak","Tak","Bardzo dobra","Nie wiem","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Fałsz","Fałsz","Fałsz","Chwilowe zaburzenia mowy i połykania","Stres","Powinna uczęszczać do szkoły specjalnej","Choroba zakaźna","Padaczka jest chorobą uleczalną","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Drgawki i krótkotrwała utrata świadomości","Alkohol","Posiada bezwzględny zakaz prowadzenia samochodu","Choroba zakaźna","Padaczka jest chorobą uleczalną","Tak"
"2024/04/22 1:40:15 PM UTC+2","14-15 lat","Mężczyzna","Polska","Miasto powyżej 500 000 mieszkańców","Z rozszerzoną biologią","Tak","Tak","Tak","Średnia","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Fałsz","Drgawki i krótkotrwała utrata świadomości","Stres","Powinna uczęszczać do szkoły specjalnej","Choroba zakaźna","Padaczka jest chorobą uleczalną","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Drgawki i krótkotrwała utrata świadomości","Stres","Powinna uczęszczać do szkoły specjalnej","Choroba zakaźna","Padaczka jest chorobą uleczalną","Ah comes back"
"2024/04/22 1:40:18 PM UTC+2","17-18 lat","Kobieta","Polska","Miasto powyżej 500 000 mieszkańców","Z rozszerzoną biologią","Nie","Tak","Nie","Dobra","Fałsz","Fałsz","Prawda","Prawda","Nie wiem","Prawda","Fałsz","Prawda","Fałsz","Fałsz","Wszystkie odpowiedzi są prawidłowe","Wszystkie odpowiedzi są prawidłowe","Posiada bezwzględny zakaz prowadzenia samochodu","Przewlekła choroba neurologiczna","Padaczka jest chorobą uleczalną","Fałsz","Fałsz","Prawda","Prawda","Fałsz","Fałsz","Prawda","Prawda","Fałsz","Fałsz","Wszystkie odpowiedzi są prawidłowe","Wszystkie odpowiedzi są prawidłowe","Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki","Przewlekła choroba neurologiczna","Osoby chorujące na padaczkę muszą przyjmować leki do końca swojego życia","Nie"
"2024/04/22 1:40:30 PM UTC+2","17-18 lat","Kobieta","Polska","Miasto powyżej 500 000 mieszkańców","Z rozszerzoną biologią","Tak","Tak","Tak","Słaba","Nie wiem","Fałsz","Prawda","Prawda","Fałsz","Fałsz","Nie wiem","Prawda","Prawda","Fałsz","Wszystkie odpowiedzi są prawidłowe","Wszystkie odpowiedzi są prawidłowe","Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki","Przewlekła choroba neurologiczna","Padaczka jest chorobą uleczalną","Fałsz","Fałsz","Prawda","Prawda","Fałsz","Fałsz","Prawda","Prawda","Fałsz","Fałsz","Wszystkie odpowiedzi są prawidłowe","Wszystkie odpowiedzi są prawidłowe","Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki","Przewlekła choroba neurologiczna","Osoby chorujące na padaczkę muszą przyjmować leki do końca swojego życia","Tak"
"2024/04/22 1:40:35 PM UTC+2","15-16 lat","Kobieta","Polska","Miasto powyżej 500 000 mieszkańców","Z rozszerzoną biologią","Nie","Tak","Nie","Średnia","Fałsz","Fałsz","Prawda","Prawda","Fałsz","Fałsz","Fałsz","Prawda","Fałsz","Nie wiem","Wszystkie odpowiedzi są prawidłowe","Wszystkie odpowiedzi są prawidłowe","Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki","Przewlekła choroba neurologiczna","Padaczka jest chorobą uleczalną","Fałsz","Fałsz","Prawda","Prawda","Fałsz","Fałsz","Prawda","Fałsz","Fałsz","Fałsz","Wszystkie odpowiedzi są prawidłowe","Wszystkie odpowiedzi są prawidłowe","Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki","Przewlekła choroba neurologiczna","Osoby chorujące na padaczkę muszą przyjmować leki do końca swojego życia","Tak"
"2024/04/22 1:40:40 PM UTC+2","14-15 lat","Kobieta","Polska","Miasto do 50 000 mieszkańców","Z rozszerzoną biologią","Nie","Tak","Nie","Słaba","Prawda","Fałsz","Prawda","Fałsz","Fałsz","Prawda","Prawda","Prawda","Prawda","Fałsz","Wszystkie odpowiedzi są prawidłowe","Wszystkie odpowiedzi są prawidłowe","Posiada bezwzględny zakaz prowadzenia samochodu","Przewlekła choroba neurologiczna","Padaczka jest chorobą uleczalną","Fałsz","Fałsz","Prawda","Prawda","Fałsz","Fałsz","Prawda","Prawda","Fałsz","Fałsz","Wszystkie odpowiedzi są prawidłowe","Wszystkie odpowiedzi są prawidłowe","Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki","Przewlekła choroba neurologiczna","Osoby chorujące na padaczkę muszą przyjmować leki do końca swojego życia","Tak"
"2024/04/22 1:40:40 PM UTC+2","17-18 lat","Mężczyzna","Polska","Miasto do 50 000 mieszkańców","Z rozszerzoną biologią","Nie","Tak","Nie","Średnia","Fałsz","Fałsz","Prawda","Prawda","Fałsz","Prawda","Prawda","Prawda","Fałsz","Fałsz","Wszystkie odpowiedzi są prawidłowe","Wszystkie odpowiedzi są prawidłowe","Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki","Przewlekła choroba neurologiczna","Padaczka jest chorobą uleczalną","Fałsz","Fałsz","Prawda","Prawda","Fałsz","Fałsz","Prawda","Prawda","Fałsz","Fałsz","Wszystkie odpowiedzi są prawidłowe","Wszystkie odpowiedzi są prawidłowe","Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki","Przewlekła choroba neurologiczna","Osoby chorujące na padaczkę muszą przyjmować leki do końca swojego życia","Tak"
